Case_Study,Solver,Method,Num_Rep_Periods,Seed,Time_To_Build_Model,Objective_Function_Value,Num_Variables,Num_Constraints,Num_Constraints_Excluding_Bounds,Solve_Time
Nodes-2flows,Gurobi.Optimizer,Barrier,26280,8,78.9129486,1480000000,1130052,2496614,1787040,158.7349999
Nodes-2flows,Gurobi.Optimizer,Barrier,26280,19545,84.699719,1480000000,1130052,2496614,1787040,231.9960001
Nodes-2flows,Gurobi.Optimizer,Barrier,26280,42849,76.375515,1480000000,1130052,2496614,1787040,158.0669999
Nodes-2flows,Gurobi.Optimizer,Barrier,26280,36965,75.8863144,1480000000,1130052,2496614,1787040,156.6409998
Nodes-2flows,Gurobi.Optimizer,Barrier,35040,83572,124.8815776,1890000000,1506732,3328814,2382720,174.8429999
Nodes-2flows,Gurobi.Optimizer,Barrier,35040,17154,128.0508522,1890000000,1506732,3328814,2382720,176.3789999
Nodes-2flows,Gurobi.Optimizer,Barrier,35040,39567,123.1956,1890000000,1506732,3328814,2382720,147.3469999
Nodes-2flows,Gurobi.Optimizer,Barrier,35040,67595,122.6327339,1890000000,1506732,3328814,2382720,187.033
Nodes-2flows,Gurobi.Optimizer,Barrier,35040,37763,123.87097,1890000000,1506732,3328814,2382720,179.4569998
Nodes-2flows,Gurobi.Optimizer,Barrier,35040,3605,124.2788835,1890000000,1506732,3328814,2382720,195.1559999
Nodes-2flows,Gurobi.Optimizer,Barrier,35040,8,122.9095249,1890000000,1506732,3328814,2382720,224.5669999
Nodes-2flows,Gurobi.Optimizer,Barrier,35040,19545,123.5730043,1890000000,1506732,3328814,2382720,122.8740001
Nodes-2flows,Gurobi.Optimizer,Barrier,35040,42849,120.9032577,1890000000,1506732,3328814,2382720,182.573
Nodes-2flows,Gurobi.Optimizer,Barrier,35040,36965,121.9718652,1890000000,1506732,3328814,2382720,235.3530002
Asset-to-asset,Gurobi.Optimizer,Barrier,672,37548,0.6611124,248000000,21516,47054,29568,0.375
Asset-to-asset,Gurobi.Optimizer,Barrier,672,25980,0.7211819,248000000,21516,47054,29568,0.375
Asset-to-asset,Gurobi.Optimizer,Barrier,672,57408,0.4024437,248000000,21516,47054,29568,0.375
Asset-to-asset,Gurobi.Optimizer,Barrier,672,41831,0.4188097,248000000,21516,47054,29568,0.328000069
Asset-to-asset,Gurobi.Optimizer,Barrier,672,29040,0.4439701,248000000,21516,47054,29568,0.375
Asset-to-asset,Gurobi.Optimizer,Barrier,672,71372,0.3949125,248000000,21516,47054,29568,0.328000069
Asset-to-asset,Gurobi.Optimizer,Barrier,672,52533,0.4548066,248000000,21516,47054,29568,0.746999979
Asset-to-asset,Gurobi.Optimizer,Barrier,672,34244,0.8218065,248000000,21516,47054,29568,0.342999935
Asset-to-asset,Gurobi.Optimizer,Barrier,672,45224,0.4586173,248000000,21516,47054,29568,0.358999968
Asset-to-asset,Gurobi.Optimizer,Barrier,672,31659,0.5534477,248000000,21516,47054,29568,0.655999899
